difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,217,217,217,217,217
2,404,404,404,404,404
3,546,546,537,537,537
4,681,681,670,670,670
5,821,821,797,797,740
6,954,954,922,922,865
7,1073,1073,1031,1031,992
8,1198,1198,1133,1133,1101
9,1316,1316,1221,1221,1203
10,1418,1418,1303,1303,1291
11,1512,1512,1374,1374,1373
12,1600,1600,1444,1444,1417
13,1672,1672,1488,1488,1488
14,1742,1742,1516,1516,1502
15,1812,1812,nan,nan,1530
16,1856,1856,nan,nan,1556
17,1896,1896,nan,nan,nan
18,1924,1924,nan,nan,nan
19,1924,1924,nan,nan,nan
20,1923,1923,nan,nan,nan
