difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
2,125,125,125,125,nan
3,342,342,342,342,nan
4,529,529,529,529,nan
5,671,671,662,662,nan
6,811,811,795,795,nan
7,942,942,920,920,nan
8,1071,1071,1038,1038,nan
9,1185,1185,1147,1147,nan
10,1291,1291,1253,1253,nan
11,1400,1400,1356,1348,nan
12,1509,1509,1451,1443,nan
13,1605,1605,1539,1531,nan
14,1700,1700,1610,1601,nan
15,1774,1774,1654,1645,nan
16,1843,1843,1654,1645,nan
17,1899,1899,1654,1645,nan
18,1955,1955,1654,1645,nan
19,2012,2012,1654,1645,nan
20,2028,2028,1654,1645,nan
21,2072,2072,1654,1645,nan
22,2072,2072,1654,1645,nan
